DTSTAMP,DTSTART,DTEND,SUMMARY,LOCATION,DESCRIPTION,CREATED,LAST-MODIFIED,SEQUENCE
<icalendar.prop.vDDDTypes object at 0x00000210945E38B0>,2022-01-25T13:00:00,2022-01-25T15:00:00,Analyse et traitement de données structurées,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945E3D30>,2022-01-17T07:15:00,2022-01-17T11:15:00,SAE13: Telecommunication,RT-Labo Electronique 1,"

RT1Turing
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092328040>,2021-10-27T12:00:00,2021-10-27T16:00:00,Bases des systèmes d'exploitation,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092328460>,2021-11-29T15:00:00,2021-11-29T17:00:00,PPP,RT-Labo Informatique 2,"

RT2App
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092328850>,2021-12-07T07:15:00,2021-12-07T08:45:00,SAE12: Réseaux,RT-Salle-TD1,"

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092328C40>,2021-12-06T12:30:00,2021-12-06T16:15:00,BDD : MODELE RELATIONNEL,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092329030>,2021-12-16T07:15:00,2021-12-16T11:15:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092329420>,2022-01-28T12:30:00,2022-01-28T14:30:00,Mathématiques des systèmes numériques,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092329840>,2021-09-20T06:15:00,2021-09-20T10:15:00,Initiation réseaux,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021092329C30>,2021-09-15T08:15:00,2021-09-15T10:15:00,Matrices et graphes,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232A020>,2022-01-15T08:45:00,2022-01-15T10:45:00,SAE13: Telecommunication,RT-Labo Telecoms 2,"

RT1Shannon1
RT1Shannon2
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232A410>,2022-01-27T07:15:00,2022-01-27T09:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232A830>,2021-11-10T15:00:00,2021-11-10T17:00:00,Expression Culture Communications professionnelles,RT-Salle Labo Visio,"

RT1App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232AC20>,2021-11-24T09:15:00,2021-11-24T11:15:00,Expression Culture Communications professionnelles,RT-Salle-TD2,"

RT1Turing
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232B010>,2021-12-06T13:00:00,2021-12-06T17:00:00,Services réseaux avancés,RT-Labo Informatique 1,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232B400>,2022-01-14T07:15:00,2022-01-14T11:15:00,Réseaux opérateurs MR,RT-Labo reseaux 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232B7F0>,2021-09-22T12:00:00,2021-09-22T16:00:00,Initiation réseaux,RT-Labo reseaux 1,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109232BBE0>,2021-12-14T09:15:00,2021-12-14T11:15:00,SAE12: Réseaux,RT-Salle Labo Visio,"

RT1App
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FC040>,2021-09-29T06:15:00,2021-09-29T08:15:00,Initiation réseaux,RT-Labo Informatique 3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FC430>,2021-10-19T12:00:00,2021-10-19T14:00:00,Electromagnétisme,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FC820>,2021-10-04T06:15:00,2021-10-04T10:15:00,Scripts avancés,RT-Labo Informatique 1,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FCC10>,2022-01-03T13:00:00,2022-01-03T16:00:00,Réseaux cellulaires,RT-Labo Informatique 1,"

RT2Hamming
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
