Salle,Date de début,Date de fin
RT-Labo Informatique 1,2022-01-03 07:15:00,2022-01-03 11:15:00
RT-Labo Informatique 1,2022-01-03 13:00:00,2022-01-03 16:00:00
RT-Labo Informatique 1,2022-01-04 08:15:00,2022-01-04 11:15:00
RT-Labo Informatique 1,2022-01-04 13:00:00,2022-01-04 17:00:00
RT-Labo Informatique 1,2022-01-05 07:15:00,2022-01-05 11:00:00
RT-Labo Informatique 1,2022-01-05 13:00:00,2022-01-05 16:00:00
RT-Labo Informatique 1,2022-01-06 08:15:00,2022-01-06 11:15:00
RT-Labo Informatique 1,2022-01-07 08:15:00,2022-01-07 11:15:00
RT-Labo Informatique 1,2022-01-10 07:15:00,2022-01-10 11:15:00
RT-Labo Informatique 1,2022-01-10 13:00:00,2022-01-10 16:00:00
RT-Labo Informatique 2,2022-01-03 13:00:00,2022-01-03 17:00:00
RT-Labo Informatique 2,2022-01-04 13:00:00,2022-01-04 17:00:00
RT-Labo Informatique 2,2022-01-05 07:15:00,2022-01-05 11:15:00
RT-Labo Informatique 2,2022-01-05 13:00:00,2022-01-05 17:00:00
RT-Labo Informatique 2,2022-01-06 09:15:00,2022-01-06 11:15:00
RT-Labo Informatique 2,2022-01-06 12:30:00,2022-01-06 16:30:00
RT-Labo Informatique 2,2022-01-07 07:15:00,2022-01-07 09:15:00
RT-Labo Informatique 2,2022-01-07 09:15:00,2022-01-07 11:15:00
RT-Labo Informatique 2,2022-01-10 13:00:00,2022-01-10 17:00:00
RT-Labo Informatique 2,2022-01-11 07:15:00,2022-01-11 11:15:00
RT-Labo Informatique 3,2022-01-03 13:00:00,2022-01-03 16:00:00
RT-Labo Informatique 3,2022-01-04 07:15:00,2022-01-04 09:15:00
RT-Labo Informatique 3,2022-01-04 09:15:00,2022-01-04 11:15:00
RT-Labo Informatique 3,2022-01-04 13:00:00,2022-01-04 17:00:00
RT-Labo Informatique 3,2022-01-05 07:15:00,2022-01-05 11:15:00
RT-Labo Informatique 3,2022-01-05 13:00:00,2022-01-05 17:00:00
RT-Labo Informatique 3,2022-01-07 07:15:00,2022-01-07 11:15:00
RT-Labo Informatique 3,2022-01-07 12:30:00,2022-01-07 15:30:00
RT-Labo Informatique 3,2022-01-10 07:15:00,2022-01-10 11:15:00
RT-Labo Informatique 3,2022-01-12 07:15:00,2022-01-12 11:00:00
